HAPPINESS
SADNESS
EXCITEMENT
ANXIETY
CONTENTMENT
GRATITUDE
COMPASSION
EMPATHY
AFFECTION
PASSION
NOSTALGIA
OPTIMISM
PESSIMISM
FRUSTRATION
INSPIRATION
MOTIVATION
SATISFACTION
DISAPPOINTMENT
RELIEF
SERENITY
